OBJECTID;Referencia Catastral;LIBRO;TOMO;SECCION;NOMDISTRIT;NOMBARRIO;TIPO_VIA;EMPLAZAMIE;NUMERO;REG_PDAD;N_REG;L_REG_01;L_REG_02;L_REG_03;L_REG_04;L_REG_05;L_REG_06;L_REG_07;L_REG_08;L_REG_09;L_REG_10;T_REG_01;T_REG_02;T_REG_03;T_REG_04;T_REG_05;T_REG_06;T_REG_07;T_REG_08;T_REG_09;T_REG_10;F_REG_01;F_REG_02;F_REG_03;F_REG_04;F_REG_05;F_REG_06;F_REG_07;F_REG_08;F_REG_09;F_REG_10;FI_REG_01;FI_REG_02;FI_REG_03;FI_REG_04;FI_REG_05;FI_REG_06;FI_REG_07;FI_REG_08;FI_REG_09;FI_REG_10;Unidad Administrativa;Año del Expediente;Nº Expediente;ORD_INDIV;RESOLUCION;N_RESOLU;AP_S_LIC_N;AD_C_DEB_N;OTR_RES_01;OTR_RES_02;OTR_RES_03;OBSER_01;OBSER_02;OBSER_03;Estado de Tramitación;Situación Expediente;Ámbito;AMBI;TIPO_OR;N_PAGINA;N_PAGINAS;Descargar Ficha;Enlace Web RMSER;Nº de Finca;SUPERFICIE;SUPERF_OC;ESCALA;LISTADO;F_ORD_INDI;F_DOGV;F_RESOLU;AP_S_LIC_F;AD_C_DEB_F;GLOBALID;st_area(shape);st_length(shape);geo_shape;geo_point_2d
14;5628401YJ2752H;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;MERCAT;PL;DOCTOR COLLADO;3;VALENCIA;8;24;;;;;;;;;;628;;;;;;;;;;179;;;;;;;;;;1610;;;;;;;;;;3502;2004;35;DTO.D.URB.;DECLARACIÓN DE INCUMPLIMIENTO;U-929;;;RESOLUCIÓN U-1089, DE 12/11/1991 DECLARACIÓN RUINA INMINENTE EDIFICIO;RESOLUCIÓN L-943 DE 31/07/1992 DE ORDEN DE DEMOLICIÓN;;INCLUSIÓN FORZOSA;PAA GESTIÓN DIRECTA AUMSA (ACUERDO JGL DE 25/07/2008),  ACUERDO  JGL 27/04/2015;EXP. RMSER ARCHIVADO;LICENCIA_CON_OE;;CENTRO HISTÓRICO;CH;INDIVIDUALIZADA;1;1;;https://www.valencia.es/rmser/es/documentos/tomo-i-fichas-individualizadas-centro-historico?page=1;2;41.02999878;41.02999878;500;;2001-02-05T02:00:00+01:00;;2002-02-25T02:00:00+01:00;;;{B3E6EAC5-883F-4BD0-86F0-6338B1ED4BB4};41.1798626;26.950766417823203;"{""coordinates"": [[[-0.37797065951146674, 39.474235721306876], [-0.3779844759865814, 39.474226683723415], [-0.37799804933970615, 39.474217805513625], [-0.3779984204373631, 39.474218138203305], [-0.37801472230066635, 39.47422976701436], [-0.37801184358623896, 39.474232134436846], [-0.3780130805789191, 39.47423324340233], [-0.37801499413926937, 39.47423490816076], [-0.37802185905252117, 39.474240918769134], [-0.378025231747707, 39.47424396776876], [-0.37804817419759784, 39.47426448493583], [-0.37805345645396976, 39.47426918148559], [-0.37806054751875173, 39.47427548457482], [-0.3780465970442798, 39.47428480922708], [-0.37801786617942434, 39.47430389024096], [-0.37800594052459363, 39.47429335113788], [-0.377953635019302, 39.47424685672358], [-0.37797065951146674, 39.474235721306876]]], ""type"": ""Polygon""}";39.47426080410993, -0.378007163227253
13;5628402YJ2752H;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;MERCAT;PL;DOCTOR COLLADO;2;VALENCIA;8;9;42;16;49;;;;;;;163;1948;353;2042;;;;;;;106;132;172;149;;;;;;;897;898;703;703;;;;;;;3502;2004;36;U-7203;ORDEN DE INCLUSIÓN (SÓTANO);U-2355;;;RESOLUCIÓN U-1862, DE 01/04/1996 DECLARACIÓN DE SITUACIÓN DE RUINA;RESOLUCIÓN U-559 DE 19/05/2004, ESTIMACIÓN PARCIAL RECURSO REPOSICIÓN;CONTRA RES. U-2355 DE 07/04/2003;PAA GESTIÓN DIRECTA AUMSA  APROBADO POR ACUERDO DE JGL DE 27/04/2015;RESOLUCIÓN SOTANO U-2355, FECHA 07/04/2003;EXP. RMSER ARCHIVADO;RRF_CON_LICENCIA;;CENTRO HISTÓRICO;CH;INDIVIDUALIZADA;1;1;;https://www.valencia.es/rmser/es/documentos/tomo-i-fichas-individualizadas-centro-historico?page=1;1;60.0;60.0;500;;2001-12-03T02:00:00+01:00;;2003-04-07T04:00:00+02:00;;;{C538AB14-B7C8-4E2B-9967-0423A74AC9B2};80.438816555;41.16091967039497;"{""coordinates"": [[[-0.3780308612955754, 39.47414098462675], [-0.3780420076834919, 39.47413423718619], [-0.37804854780105, 39.474130234396334], [-0.37805080143313596, 39.47413265545792], [-0.37807752381617094, 39.47416131627097], [-0.3780792186160567, 39.47416261574083], [-0.37808815315570016, 39.47417195404389], [-0.37808778727997805, 39.47417231785213], [-0.3780704822241724, 39.47418120646906], [-0.3780548335892116, 39.47418932166482], [-0.3780286102460996, 39.474197815367056], [-0.37799804933970615, 39.474217805513625], [-0.3779926044945912, 39.474221367258465], [-0.3779844759865814, 39.474226683723415], [-0.37798260504194936, 39.47422790724469], [-0.377953635019302, 39.47424685672358], [-0.37791184551665574, 39.474209284044896], [-0.37791056922874144, 39.474208138156555], [-0.3779097728517622, 39.47420736795294], [-0.37791204375349946, 39.47420601832544], [-0.3779149150382707, 39.47420431288421], [-0.3779372705504566, 39.47419094376175], [-0.37794229456333134, 39.47418794007808], [-0.3779425025464875, 39.474187818647785], [-0.377997325715774, 39.47415491230398], [-0.3780013546851227, 39.47415905716716], [-0.3780308612955754, 39.47414098462675]]], ""type"": ""Polygon""}";39.47418804209525, -0.37799831450433824
40;6217207YJ2761G;PRINCIPAL;II;EDIFICIOS;L'EIXAMPLE;RUSSAFA;C;PINTOR SALVADOR ABRIL;12;VALENCIA;12;666;;;;;;;;;;2203;;;;;;;;;;1;;;;;;;;;;30631;;;;;;;;;;03A01;2018;43;GL-997;;;;;;;;;;;RRF_(INCUMPLIMIENTO);;FUERA DE CENTRO HISTÓRICO;FCH;;1;1;https://www.valencia.es/rmser/sites/default/files/docs/1_edif-_pintor_salvador_abril_12.pdf.zsig_.pdf;https://www.valencia.es/rmser/es/documentos/tomo-ii-fichas-individualizadas-fuera-del-centro-historico?page=4;1;113.94999695;113.94999695;1000;;2019-09-05T04:00:00+02:00;;;;;{9101A3DF-0039-4593-8489-2BA5E41495E2};114.8648;48.232361588178;"{""coordinates"": [[[-0.37115127307350076, 39.46378256338402], [-0.3711337918145536, 39.46379000560354], [-0.37106101536264413, 39.46382142162389], [-0.37102533911087743, 39.4638367403267], [-0.37094721694502825, 39.46372614678355], [-0.3709749501465392, 39.46371497264025], [-0.3710236378690552, 39.46373066829253], [-0.3710523470217425, 39.46373987609125], [-0.3710526953950434, 39.463739883971904], [-0.3710724383499169, 39.46374645656326], [-0.3711161869878918, 39.46376059904184], [-0.37115235614830294, 39.46377231785399], [-0.37116533249709144, 39.46377648516663], [-0.37115127307350076, 39.46378256338402]]], ""type"": ""Polygon""}";39.46377330019263, -0.371043274119077
432;6027908YJ2762E;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;LA XEREA;C;CRUZ NUEVA;14;VALÈNCIA;3;103;112;178;162;;;;;;;1298;1336;1709;1629;;;;;;;224;83;52;147;;;;;;;6788;7107;9219;8664;;;;;;;03801;2007;246;U-251;DEC.INCUMP.REH. Y REG.REH.FORZ.;SM-4851;;;DECLARACIÓN AMENAZA RUINA INMINENTE, RES. SM-1180, DE 29/9/2015;DECLARACIÓN SITUACIÓN LEGAL DE RUINA RES. SM-2610, DE 25/05/2018. INCLUSIÓN;EN RMSER, RES. GL-7145 DE 26/12/2022;;;;RRF_(INCUMPLIMIENTO);;CENTRO HISTÓRICO;;;1;1;https://www.valencia.es/rmser/sites/default/files/docs/ficha_rmser_cruz_nueva_14_1.zsig__0.pdf;https://www.valencia.es/rmser/sites/default/files/docs/ficha_rmser_cruz_nueva_14_1.zsig__0.pdf;39;67.0;67.0;500;;2008-02-13T02:00:00+01:00;;2018-10-24T04:00:00+02:00;;;{230B1E48-FC51-4A8C-838E-7ED542D3916D};66.79336642;33.022155266477256;"{""coordinates"": [[[[-0.37351333354588434, 39.47277501701713], [-0.3735058145098502, 39.47279539432456], [-0.3734294865353679, 39.47277299760354], [-0.3734283975398841, 39.472772499127544], [-0.3734362209019926, 39.472748359425935], [-0.3734407457455946, 39.472733478277014], [-0.37345063661130273, 39.47270190350376], [-0.37345248032188383, 39.472694268785084], [-0.3734528164305918, 39.47269349171614], [-0.3735354615936621, 39.47271419700787], [-0.37351333354588434, 39.47277501701713]]], [[[-0.3735058145098502, 39.47279539432456], [-0.37350584669027936, 39.47279540406066], [-0.3735057898692708, 39.472795462234444], [-0.3735058145098502, 39.47279539432456]]]], ""type"": ""MultiPolygon""}";39.47274371591401, -0.37348112584296944
39;6609907YJ2760H;PRINCIPAL;II;EDIFICIOS;QUATRE CARRERES;MONT-OLIVET;C;GENERAL ALMIRANTE;17;VALENCIA;4;1035;989;980;;;;;;;;1994;1948;1939;;;;;;;;102;219;58;;;;;;;;17666;17668;17670;;;;;;;;03A01;2018;8;GL-835;;;;;;;;;;;RRF_(INCUMPLIMIENTO);;FUERA DE CENTRO HISTÓRICO;FCH;;1;1;https://www.valencia.es/rmser/sites/default/files/docs/2_edif-general_almerante_17.pdf.zsig_.pdf;https://www.valencia.es/rmser/es/documentos/tomo-ii-fichas-individualizadas-fuera-del-centro-historico?page=1;2;84.23000336;84.23000336;1000;;2020-02-27T02:00:00+01:00;;;;;{379D010D-6988-4AF6-B222-42008C2621CA};84.2357125;38.397084653698315;"{""coordinates"": [[[-0.36652983476084955, 39.456675987378254], [-0.36652054310306464, 39.456678929916805], [-0.3665144379086574, 39.456668251281414], [-0.36651280143750464, 39.45666542147208], [-0.3665052818173901, 39.456652188322266], [-0.36646255472524886, 39.45657734798432], [-0.3665335387546211, 39.45655328135999], [-0.3665350719689529, 39.456552685485214], [-0.3665764647267914, 39.45662605415499], [-0.366578203736446, 39.45662924663886], [-0.36659312108528513, 39.45665571016703], [-0.3665592429464005, 39.45666656388296], [-0.36652983476084955, 39.456675987378254]]], ""type"": ""Polygon""}";39.456616090749286, -0.36652786849177793
15;5333506YJ2753C;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;CARMEN;C;RIPALDA;18;VALÈNCIA;10;71;20;71;71;71;71;;;;;2691;631;2691;2691;2691;2691;;;;;70;110;70;70;68;70;;;;;474-A;474-B;474-C;474-D;474-E;474-F;;;;;3502;2014;20;U-1571;DECLARACIÓN DE INCUMPLIMIENTO;U-125;;;DECLARACION DE RUINA U-660 DE 21/10/2013;ORDEN DE INCLUSION SM-1250 DE 29/09/2015;;ARCHIVO PROVISIONAL POR LICENCIA DE INTERVENCIÓN;;;RRF_CON_LICENCIA;;CENTRO HISTÓRICO;CH;;1;1;;;19;296.48001099;296.48001099;500;;2009-07-09T04:00:00+02:00;;2014-02-27T02:00:00+01:00;;;{F4A2D90B-DE69-43ED-9A55-6FA1ABCBF2D6};296.5040855;73.45900259336665;"{""coordinates"": [[[-0.3811838489511127, 39.47863641243754], [-0.3811770424040092, 39.478656709005044], [-0.3811455664714396, 39.47864978358299], [-0.38113657093638836, 39.478647869183575], [-0.3811259661886026, 39.47864546807746], [-0.3811280023069971, 39.47863767631446], [-0.3811073397886185, 39.478633787306244], [-0.3809297320485547, 39.47860027164073], [-0.38093350172204365, 39.47858887940035], [-0.38093532177309103, 39.47858266381432], [-0.38092661192478916, 39.478581345913646], [-0.38095689172157265, 39.478486945058], [-0.3812172432839553, 39.47853645120478], [-0.3811838489511127, 39.47863641243754]]], ""type"": ""Polygon""}";39.478568399539384, -0.3810707831854303
26;5733905YJ2753D;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;CARMEN;C;SERRANOS;23;VALÈNCIA;10;62;62;62;62;62;62;62;;;;2577;2577;2577;2577;2577;2577;2577;;;;151;153;155;157;159;161;163;;;;3539;3540;3541;3542;3543;3544;3545;;;;3502;2010;13;;DECLARACIÓN DE INCUMPLIMIENTO;U-2300;;;DECLARACIÓN DE RUINA U-2004 DE 24/09/2008;ORDEN DE INCLUSION U-565 DE 15/07/2014;;EXP. RMSER ARCHIVADO;LICENCIA INTERVENCIÓN SOLICITADA;;RRF_(INCUMPLIMIENTO);;CENTRO HISTÓRICO;CH;;1;1;;;20;364.0;364.0;500;;;;2009-11-13T02:00:00+01:00;;;{887467E9-D1CA-4C02-B261-48A758A7CFD6};363.99130865;95.87071127784142;"{""coordinates"": [[[-0.3769965933807059, 39.478283199107054], [-0.37697478921442085, 39.47834711887077], [-0.3769001759599062, 39.47833705647066], [-0.3768810924976962, 39.478334464488285], [-0.3768582505774271, 39.478329804827254], [-0.3767394322753604, 39.47830541144964], [-0.3766462232607687, 39.4782862797591], [-0.37660538726834103, 39.47827788147573], [-0.37659278576389504, 39.47826057037955], [-0.37655240316715344, 39.47824938868841], [-0.3765867894391238, 39.47817268941514], [-0.3766405460469833, 39.478183722577654], [-0.37668338693974907, 39.478191356218666], [-0.3766868511424435, 39.47819197404915], [-0.3767465956329389, 39.47820143156968], [-0.37679702230331813, 39.47821446151003], [-0.376824770625386, 39.478221574223454], [-0.376818254950711, 39.47823719251943], [-0.3768138995685254, 39.47824234632538], [-0.3768414090990836, 39.478249317611805], [-0.37684307867915695, 39.478249743578935], [-0.37688157464884714, 39.47825637818808], [-0.3769277512391826, 39.478264339283015], [-0.376994244466929, 39.47827579491557], [-0.37699889843915935, 39.47827630536162], [-0.37699686289261036, 39.47828221422383], [-0.3769965933807059, 39.478283199107054]]], ""type"": ""Polygon""}";39.47826284383031, -0.3767663301668031
23;5632401YJ2753D;PRINCIPAL;I;EDIFICIOS;CIUTAT VELLA;CARMEN;PL;BENEYTO Y COLL;1;VALENCIA;10;115;;;;;;;;;;3191;;;;;;;;;;28;;;;;;;;;;774;;;;;;;;;;3502;2015;13;;DEC. INCUMP. DEBER CONSERVACIÓN;SM-705;;;IMPOSICIÓN 1ª MULTA COERCITIVA U-656 DE 11/09/2014;DECLARACIÓN DE RUINA U-407 04/03/2008;DECLARACIÓN DE INCUMPLIMIENTO UG-91 DE 22/05/2015;LICENCIA DE INTERVENCIÓN CONCEDIDA;EXP. RMSER ARCHIVADO;;RRF_CON_LICENCIA;;CENTRO HISTÓRICO;CH;;1;1;https://www.valencia.es/rmser/sites/default/files/docs/beneyto_y_coll_1_firmada.pdf;;28;157.69000244;157.69000244;500;;;;2016-02-22T02:00:00+01:00;;;{9D7A431F-E19B-4D71-84B4-86D9B7AC5143};161.05224;52.75271885739997;"{""coordinates"": [[[-0.37787815060131547, 39.4779204659605], [-0.3778755310754943, 39.477922118522024], [-0.37778158025315184, 39.47791035911487], [-0.37777968351261676, 39.47790824429248], [-0.3777878155304867, 39.477834285454136], [-0.377796425442856, 39.477756733882096], [-0.3778110871923847, 39.4777563440243], [-0.3779017212880728, 39.477760461182115], [-0.3779046396913701, 39.477763229671055], [-0.37790123022525574, 39.47780756607399], [-0.37788640906024146, 39.47788011275411], [-0.37787815060131547, 39.4779204659605]]], ""type"": ""Polygon""}";39.477836012524264, -0.37784136051467554
